project,analyzer,P,R,F1,SIZE
accumulo,build-info-go,98.4,100,99.19,184,
accumulo,cdxgen,98.92,100,99.46,184,
accumulo,cyclonedx-maven-plugin,98.8,89.13,93.71,184,
accumulo,depscan,98.92,100,99.46,184,
accumulo,jbom,0,0,0,184,
accumulo,openrewrite,100,1.09,2.15,184,
alluxio,build-info-go,0,0,0,630,
alluxio,cdxgen,0,0,0,0,
alluxio,cyclonedx-maven-plugin,0,0,0,0,
alluxio,depscan,98.97,76.35,86.2,630,
alluxio,jbom,8.91,20.95,12.51,630,
alluxio,openrewrite,100,0.63,1.26,630,
async-http-client,build-info-go,0,0,0,97,
async-http-client,cdxgen,89.81,100,94.63,97,
async-http-client,cyclonedx-maven-plugin,75,34.02,46.81,97,
async-http-client,depscan,89.81,100,94.63,97,
async-http-client,jbom,5.71,2.06,3.03,97,
async-http-client,openrewrite,100,2.06,4.04,97,
checkstyle,build-info-go,98.28,100,99.13,57,
checkstyle,cdxgen,100,100,100,57,
checkstyle,cyclonedx-maven-plugin,100,40.35,57.5,57,
checkstyle,depscan,0,0,0,0,
checkstyle,jbom,60.87,24.56,35,57,
checkstyle,openrewrite,95.83,40.35,56.79,57,
commons-configuration,build-info-go,0,0,0,54,
commons-configuration,cdxgen,100,100,100,54,
commons-configuration,cyclonedx-maven-plugin,100,40.74,57.89,54,
commons-configuration,depscan,100,100,100,54,
commons-configuration,jbom,0,0,0,54,
commons-configuration,openrewrite,100,40.74,57.89,54,
CoreNLP,build-info-go,96.97,78.05,86.49,41,
CoreNLP,cdxgen,85.42,100,92.13,41,
CoreNLP,cyclonedx-maven-plugin,100,82.93,90.67,41,
CoreNLP,depscan,85.42,100,92.13,41,
CoreNLP,jbom,35.21,60.98,44.64,41,
CoreNLP,openrewrite,94.12,78.05,85.33,41,
couchdb-lucene,build-info-go,98.67,97.37,98.01,76,
couchdb-lucene,cdxgen,100,100,100,76,
couchdb-lucene,cyclonedx-maven-plugin,100,97.37,98.67,76,
couchdb-lucene,depscan,100,100,100,76,
couchdb-lucene,jbom,46.15,15.79,23.53,76,
couchdb-lucene,openrewrite,100,97.37,98.67,76,
error-prone,build-info-go,96.97,100,98.46,96,
error-prone,cdxgen,97.96,100,98.97,96,
error-prone,cyclonedx-maven-plugin,95.35,42.71,58.99,96,
error-prone,depscan,97.96,100,98.97,96,
error-prone,jbom,44.19,39.58,41.76,96,
error-prone,openrewrite,0,0,0,96,
flink,build-info-go,0,0,0,321,
flink,cdxgen,0,0,0,0,
flink,cyclonedx-maven-plugin,0,0,0,0,
flink,depscan,21.16,100,34.93,321,
flink,jbom,0,0,0,321,
flink,openrewrite,100,0.93,1.85,321,
handlebars.java,build-info-go,0,0,0,115,
handlebars.java,cdxgen,95.04,100,97.46,115,
handlebars.java,cyclonedx-maven-plugin,94.29,86.09,90,115,
handlebars.java,depscan,95.04,100,97.46,115,
handlebars.java,jbom,14.39,16.52,15.38,115,
handlebars.java,openrewrite,0,0,0,115,
jacop,build-info-go,90,81.82,85.71,11,
jacop,cdxgen,100,100,100,11,
jacop,cyclonedx-maven-plugin,100,81.82,90,11,
jacop,depscan,100,100,100,11,
jacop,jbom,0,0,0,11,
jacop,openrewrite,100,81.82,90,11,
javaparser,build-info-go,66.67,29.79,41.18,47,
javaparser,cdxgen,88.68,100,94,47,
javaparser,cyclonedx-maven-plugin,70,29.79,41.79,47,
javaparser,depscan,88.68,100,94,47,
javaparser,jbom,15.79,12.77,14.12,47,
javaparser,openrewrite,0,0,0,47,
jenkins,build-info-go,98.72,100,99.35,231,
jenkins,cdxgen,99.14,100,99.57,231,
jenkins,cyclonedx-maven-plugin,98.2,47.19,63.74,231,
jenkins,depscan,99.14,100,99.57,231,
jenkins,jbom,25.96,41.13,31.83,231,
jenkins,openrewrite,0,0,0,231,
jHiccup,build-info-go,0,0,0,3,
jHiccup,cdxgen,100,100,100,3,
jHiccup,cyclonedx-maven-plugin,100,33.33,50,3,
jHiccup,depscan,100,100,100,3,
jHiccup,jbom,50,66.67,57.14,3,
jHiccup,openrewrite,100,33.33,50,3,
jooby,build-info-go,92.02,100,95.85,450,
jooby,cdxgen,92.21,100,95.95,450,
jooby,cyclonedx-maven-plugin,91.79,94.44,93.1,450,
jooby,depscan,92.21,100,95.95,450,
jooby,jbom,0,0,0,450,
jooby,openrewrite,0,0,0,450,
launch4j-maven-plugin,build-info-go,98.41,100,99.2,62,
launch4j-maven-plugin,cdxgen,100,100,100,62,
launch4j-maven-plugin,cyclonedx-maven-plugin,100,85.48,92.17,62,
launch4j-maven-plugin,depscan,100,100,100,62,
launch4j-maven-plugin,jbom,84.62,17.74,29.33,62,
launch4j-maven-plugin,openrewrite,64.41,61.29,62.81,62,
mybatis-3,build-info-go,98.46,100,99.22,64,
mybatis-3,cdxgen,100,100,100,64,
mybatis-3,cyclonedx-maven-plugin,100,31.25,47.62,64,
mybatis-3,depscan,100,100,100,64,
mybatis-3,jbom,96.43,42.19,58.7,64,
mybatis-3,openrewrite,95,29.69,45.24,64,
neo4j,build-info-go,0,0,0,309,
neo4j,cdxgen,92.51,100,96.11,309,
neo4j,cyclonedx-maven-plugin,92.09,94.17,93.12,309,
neo4j,depscan,92.51,100,96.11,309,
neo4j,jbom,0,0,0,309,
neo4j,openrewrite,0,0,0,309,
orika,build-info-go,94.23,100,97.03,49,
orika,cdxgen,96.08,100,98,49,
orika,cyclonedx-maven-plugin,96.08,100,98,49,
orika,depscan,96.08,100,98,49,
orika,jbom,8.16,8.16,8.16,49,
orika,openrewrite,0,0,0,49,
para,build-info-go,86.17,68.64,76.42,236,
para,cdxgen,88.66,89.41,89.03,236,
para,cyclonedx-maven-plugin,86.7,74.58,80.18,236,
para,depscan,99.16,100,99.58,236,
para,jbom,9.34,27.12,13.9,236,
para,openrewrite,0,0,0,236,
selenese-runner-java,build-info-go,99.27,100,99.63,136,
selenese-runner-java,cdxgen,100,100,100,136,
selenese-runner-java,cyclonedx-maven-plugin,100,84.56,91.63,136,
selenese-runner-java,depscan,100,100,100,136,
selenese-runner-java,jbom,73.91,12.5,21.38,136,
selenese-runner-java,openrewrite,94.74,79.41,86.4,136,
spoon,build-info-go,95.83,42.59,58.97,54,
spoon,cdxgen,13.01,100,23.03,54,
spoon,cyclonedx-maven-plugin,100,42.59,59.74,54,
spoon,depscan,13.01,100,23.03,54,
spoon,jbom,23.2,53.7,32.4,54,
spoon,openrewrite,95.83,42.59,58.97,54,
steady,build-info-go,95.98,77.85,85.97,307,
steady,cdxgen,98.68,97.39,98.03,307,
steady,cyclonedx-maven-plugin,0,0,0,0,
steady,depscan,95.94,100,97.93,307,
steady,jbom,14.41,21.82,17.36,307,
steady,openrewrite,100,1.63,3.21,307,
subzero,build-info-go,0,0,0,0,
subzero,cdxgen,0,0,0,0,
subzero,cyclonedx-maven-plugin,0,0,0,0,
subzero,depscan,0,0,0,0,
subzero,jbom,0,0,0,0,
subzero,openrewrite,0,0,0,0,
tika,build-info-go,0,0,0,620,
tika,cdxgen,92.26,100,95.98,620,
tika,cyclonedx-maven-plugin,91.52,90.48,91,620,
tika,depscan,0,0,0,0,
tika,jbom,7.56,10.81,8.9,620,
tika,openrewrite,0,0,0,0,
undertow,build-info-go,97.67,100,98.82,126,
undertow,cdxgen,97.67,100,98.82,126,
undertow,cyclonedx-maven-plugin,93.33,22.22,35.9,126,
undertow,depscan,97.67,100,98.82,126,
undertow,jbom,10.87,7.94,9.17,126,
undertow,openrewrite,0,0,0,126,
webcam-capture,build-info-go,0,0,0,50,
webcam-capture,cdxgen,24.04,100,38.76,50,
webcam-capture,cyclonedx-maven-plugin,40.38,84,54.55,50,
webcam-capture,depscan,24.04,100,38.76,50,
webcam-capture,jbom,26.67,16,20,50,
webcam-capture,openrewrite,0,0,0,50,
